,0.2.09.10.M,0.2.08.10.M,0.2.07.10.M,0.2.06.10.M,0.2.05.10.M,0.2.04.10.M,0.2.03.10.M,0.2.02.10.M,0.2.01.10.M,0.2.15.10.M,0.2.46.10.M,0.2.14.10.M,0.2.45.10.M,0.2.13.10.M,0.2.44.10.M,0.2.12.10.M,0.2.43.10.M,0.2.11.10.M,0.2.42.10.M,0.2.10.10.M,0.2.41.10.M,0.2.20.10.M
1982-04-01,460.1,91.4,268.5,148.6,243.4,200.3,149.6,79.6,933.4,196.1,342.4,146.3,479.1,153.5,460.1,125.6,359.9,64.9,592.3,135.1,1162.6,3396.4
1982-05-01,502.6,96.8,289.8,151,268.3,210.3,149.7,80.8,920.5,196.6,342.1,145.5,486.1,154.8,502.6,128.7,386.6,67.7,629.6,134.9,1150.9,3497.9
1982-06-01,443.8,88.6,261.9,142.6,266.1,198.7,149,77.3,933.6,188.5,328.7,140.2,467.5,148.8,443.8,125,350.5,65.5,607.4,128.2,1160,3357.8
1982-07-01,459.1,92.1,267.2,150.1,273.5,208.7,153.5,80.4,972.6,192,338.5,146.5,491.1,156.1,459.1,136.6,359.3,68.5,632.4,129.9,1206.4,3486.8
1982-08-01,438.4,83.7,241.5,153.7,262.7,206.2,147.3,81.6,923.5,192.7,331.5,138.8,485.7,152.8,438.4,134.7,325.2,65.2,622.6,133,1152.5,3355.9
1982-09-01,465.1,90.1,256.2,157.9,263.1,200.9,151.8,81.4,955.9,197.6,341.9,144.3,489.9,157.2,465.1,130.4,346.3,66.8,622,135.5,1189.1,3454.3
1982-10-01,452.7,92.9,261.3,162.6,263.3,211.9,157.3,90.8,999.3,211.9,358.4,146.6,500.9,160.6,452.7,132,354.2,67.7,637.8,140.6,1247.4,3551.5
1982-11-01,522.9,101.5,302.4,199,285.9,232.2,156.5,92.3,1031.9,215.4,374.7,159.3,531.1,176.1,522.9,135.7,403.9,73.6,717.2,145.7,1280.7,3830.5
1982-12-01,889.3,145.2,426.1,385,410.7,281.2,182.3,111,1190.4,240.5,433.1,192.6,725.2,258.7,889.3,176.7,571.4,95.8,1077,194,1483.7,5179.7
1983-01-01,379.2,88.8,237.7,169.9,255.4,190.7,151.9,91.7,959.3,226.9,368.6,141.8,491.4,159.3,379.2,128.5,326.5,64.9,615.9,138.6,1202.8,3384.5
1983-02-01,378,82.3,216.4,159.4,267.5,194.8,146.7,82,995.5,204.4,348.1,143.7,499.1,157.9,378,122.1,298.7,66.4,621.7,152.8,1224.2,3369.8
1983-03-01,472.1,97.5,279.7,184.2,315.1,219.8,160.3,91.4,1080.8,213.9,365.8,151.9,538.7,174.4,472.1,133.2,377.2,73.7,719.1,157.3,1332.4,3805.3
1983-04-01,503.4,104.2,308.3,155.7,284.2,193.5,148.1,86.4,1036.4,198.1,351.1,153,493.8,159.3,503.4,131.8,412.5,71.5,633.4,131.2,1270.9,3665.1
1983-05-01,510.6,107.7,310.8,170.1,304.9,222.9,152.4,85,1014.2,207.4,360.5,153.2,520.8,166.5,510.6,138.9,418.5,73.5,697.9,142,1251.7,3760
1983-06-01,462.4,98.3,284.6,157,294.4,210.5,151.6,83.7,1033.9,196.4,347.1,150.7,507.3,160.3,462.4,139.7,383,71.3,661.8,136,1269.3,3630.8
1983-07-01,468.3,97.7,286.2,159.6,293.4,203.9,159.5,85.9,1047.4,209.8,364.5,154.7,519.9,165.6,468.3,140.9,384,72.5,656.9,141,1292.8,3686.5
1983-08-01,458.2,96.9,283,172.4,320.9,217.7,159.1,88.5,1089.4,215.2,376,160.8,554.2,174.6,458.2,147.3,379.9,76.5,711,155.8,1337,3816.3
1983-09-01,482.7,103.5,298.5,181.4,295.1,213.9,157.7,89.6,1075.6,215.6,377.6,162,547.9,176,482.7,144.6,402,74.9,690.3,152.4,1322.8,3823.4
1983-10-01,485.3,104,291.8,200.2,301.1,213.3,156.4,93.1,1105.9,211,374.1,163.1,553.5,180.8,485.3,146.9,395.8,75.8,714.6,149.9,1355.4,3878.7
1983-11-01,568.7,111.4,320.3,235.3,350.1,230.1,159.6,95.4,1155.9,215.3,390.6,175.3,594.1,198.8,568.7,153.3,431.7,83.7,815.5,158.3,1410.9,4211.5
1983-12-01,963.7,161.5,464.5,433,486.8,278,184.3,123.2,1334.8,242.7,459,216.3,795.5,287.5,963.7,195.8,626,109.3,1197.8,202.9,1642.3,5684.3
1984-01-01,414.7,100.8,256.8,190.8,281.5,211.9,157.6,94.8,1062.2,236,388.8,152.7,538.8,173.9,414.7,142.6,357.6,70.5,684.2,151.7,1314.5,3698.5
1984-02-01,414.5,94.8,251.2,188.9,292.1,217.5,157.1,90.5,1087.8,223,377.1,154.1,561.6,176.7,414.5,141.2,346,71.9,698.5,171.8,1335.4,3733.2
1984-03-01,484.7,110.1,309,204.6,302.6,238.8,163,93.5,1132.3,231.4,397.8,166.3,574.6,186.8,484.7,148.4,419,76.7,746,162.7,1388.8,4010.9
1984-04-01,487.3,108.3,298.6,176.4,263,195.3,155.9,88.8,1101.8,218.5,383.3,164.7,529.7,172.5,487.3,135.4,406.9,72.2,634.7,149.6,1346.5,3788.4
1984-05-01,597.9,125,356,189.5,329,236.5,165.9,89.9,1148.5,231.3,414,182.7,590.1,190.6,597.9,149.7,480.9,83.5,755,166.3,1404.3,4242.3
1984-06-01,500.4,107.4,295.7,159.5,303.1,214.7,156.7,89.6,1121.3,216.5,381.5,165.1,542.2,171.7,500.4,141.8,403.1,76,677.2,152.7,1367.6,3872.1
1984-07-01,543.4,107.3,304.6,167.9,313,227.8,158.1,85.2,1118.3,223.5,393,169.5,559.4,177.2,543.4,143.9,411.9,78.5,708.7,159.8,1361.6,3978
1984-08-01,503.4,110.5,304,186.3,314.4,240.1,165.5,92,1179.2,228.8,409,180.2,591.6,190.1,503.4,153.1,414.5,81.5,740.9,166.9,1436.7,4096.1
1984-09-01,522.8,107.9,284.2,182,272.2,224.8,158.4,91.7,1105.5,226,394.7,168.8,557.2,180.2,522.8,143.1,392.1,74.5,679,159.4,1355.6,3901.4
1984-10-01,556.6,119.9,326.4,210.5,308.6,250.2,167.5,95.6,1199.5,238.1,424.5,186.4,614.5,200.8,556.6,151.9,446.3,82.9,769.3,178.9,1462.7,4274
1984-11-01,623.2,125.7,359.1,241.5,351.8,266,172.6,102.3,1226.6,244.9,436.5,191.7,651.8,215.5,623.2,158.9,484.8,88.9,859.3,188.6,1501.4,4557.1
1984-12-01,1039.4,166.3,472.5,408.3,475.5,290.8,188.6,129.7,1368.3,262.8,488.1,225.4,820,292.1,1039.4,192.4,638.8,111.7,1174.6,223.8,1686.6,5847.5
1985-01-01,516.3,109.6,292,188.8,295.4,218.8,172,106,1206.7,249.3,425.6,176.3,598.9,191,516.3,154,401.6,79.3,703,174.6,1484.7,4130
